Entidade detentora das participacoes,Tipo,Denominacoes,% Participacao/ interesse economico,Custo de Aquisicao,Ano aquisicao,Capital Social/Moeda,Accoes/Quotas (Total Entidade),N  de Accoes/Quotas detidas,Transaccoes,Emprestimos,Outros,Ano referencia,Entidade,Doc
Banco BPI,FCR,FCR-PV ACTEC II – CATEGORIA B1 ,,337000,,,290145,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,FCR-TURISMO INOVACAO CAT.B,,600000,,,12,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,FUNDO PATHENA SCA SICAR (B),,10140000,,,,,,,,2015,BPI,BPI - Participacoes 2015
Banco BPI,FCR,PORTUGAL VENTURE CAPITAL INITIATIVE-PVCI ,,6139000,,,6139383,,,,,2015,BPI,BPI - Participacoes 2015
Grupo DST,Sociedade,"innovation point, s.a. ",100,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,Sociedade,"2bpartner - scr, s.a. ",85.8,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,FCR,fundo minho inovacao internacionalizacao - fcr ,42.9,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,Sociedade,"aDDvolt, s.a. ",25.8,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,Sociedade,"watt-is, s.a. ",28.2,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,Sociedade,"mobiqueue, lda ",17.2,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,Sociedade,"wiseconnect, s.a. ",15.5,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,Sociedade,"augrpublisher, lda ",10.7,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,Sociedade,"biomode, s.a. ",9.8,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,Sociedade,"sphere ultrafast photonics , s.a.",6.5,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
Grupo DST,Sociedade,"top research, s.a. ",5.4,,,,,,,,,2015,DST,"DST - Participadas, Ventures 2015"
SONAE IM,Sociedade,"Dispar - Distrib. de Participacoes, SGPS, SA Lisboa 14,28% 14,28% 14,28% 14,28% 9.976 9.976 ",14.28,,,,,14.28%,,,,2015,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,"Insco - Insular de Hipermerc., SA ",10,,,,,10.00%,,,,2015,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,"Solferias- Operadores Turisticos, SA Lisboa ",11.11,,,,,11.11%,,,,2015,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,"MOVVO, SA ",16,,,,,9.09%,,,,2015,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,"Lusa - Agen. de Noticias de Portugal, SA Lisboa ",1.38,,,,,1.24%,,,,2015,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,Cooper Gay Swett & Crawford Ltd,9.72,,,,,4.86%,,,,2015,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Outros,Outros investimentos ,,12384028,,,,,,,,2015,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,"Dispar - Distrib. de Participacoes, SGPS, SA Lisboa 14,28% 14,28% 14,28% 14,28% 9.976 9.976 ",14.28,,,,,14.28%,,,,2014,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,"Insco - Insular de Hipermerc., SA ",10,,,,,10.00%,,,,2014,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,"Solferias- Operadores Turisticos, SA Lisboa ",11.11,,,,,11.11%,,,,2014,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,"MOVVO, SA ",16,,,,,9.09%,,,,2014,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,"Lusa - Agen. de Noticias de Portugal, SA Lisboa ",1.24,,,,,1.38%,,,,2014,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Sociedade,Cooper Gay Swett & Crawford Ltd,4.86,,,,,9.72%,,,,2014,SONAE IM,"SONAE IM - Participacoes, % 2015"
SONAE IM,Outros,Outros investimentos ,,12260854,,,,,,,,2014,SONAE IM,"SONAE IM - Participacoes, % 2015"
Acionistas ISA,FCR,Fundo Capital Criativo,75.6,,,,,816131,,,,2014,ISA,ISA - Capital realizado 2015
Acionistas ISA,Sociedade,"ALTAR, SGPS,S.A.",19,,,,,205322,,,,2014,ISA,ISA - Capital realizado 2015
Acionistas ISA,Sociedade,"NEWES, New Energy Solutions, Lda.",1.4,,,,,14675,,,,2014,ISA,ISA - Capital realizado 2015
Acionistas ISA,Sociedade,Acoesproprias,0.9,,,,,9900,,,,2014,ISA,ISA - Capital realizado 2015
Acionistas ISA,Outros,Outros,3.1,,,,,33972,,,,2014,ISA,ISA - Capital realizado 2015
Acionistas ISA,FCR,Fundo Capital Criativo,84,,,,,1388132,,,,2015,ISA,ISA - Capital realizado 2015
Acionistas ISA,Sociedade,"ALTAR, SGPS,S.A.",12.4,,,,,205322,,,,2015,ISA,ISA - Capital realizado 2015
Acionistas ISA,Sociedade,"NEWES, New Energy Solutions, Lda.",0.9,,,,,14675,,,,2015,ISA,ISA - Capital realizado 2015
Acionistas ISA,Sociedade,Acoesproprias,0.6,,,,,9900,,,,2015,ISA,ISA - Capital realizado 2015
